id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка
0;0;4381;1665;306;831.971;2.789;24.433;4.595;1.806;19.838;8.343;5.29;4.871;4.599;8807.534;21.643;3.875;5.348;7.394;2.979;10.449;2.719;0.514;0.067
2;2;4848;1665;291;845.68;2.113;205.003;4.253;2.14;200.75;1.055;17.784;8.046;5.238;29610.947;202.89;3.7;17.583;883.004;2.979;9.322;29.715;1.671;0.728
0;0;4351;1665;312;842.856;2.34;44.315;4.143;1.804;40.172;4.297;6.235;4.83;4.239;10380.587;41.975;3.687;4.592;40.709;2.975;8.846;6.38;1.023;0.156
2;2;5257;1665;284;848.137;1.516;221.873;4.381;2.866;217.492;1.3;19.221;7.567;4.318;32002.638;220.357;2.748;19.46;1060.969;2.973;9.762;32.573;1.695;0.798
0;0;4127;1665;272;842.945;2.805;46.86;4.876;2.071;41.983;4.701;6.621;5.376;4.786;11023.215;44.054;3.629;5.403;35.255;2.973;9.341;5.938;0.897;0.146
0;0;4433;1665;328;835.308;2.325;39.565;3.959;1.634;35.606;4.388;5.879;4.573;4.033;9788.95;37.24;3.537;4.367;36.108;2.967;8.542;6.009;1.022;0.147
1;0;4157;1665;271;827.292;2.512;46.622;4.298;1.787;42.323;4.05;6.077;4.896;4.335;10117.385;44.11;3.374;4.781;30.318;2.963;9.731;5.506;0.906;0.135
0;0;3974;1665;285;821.926;2.581;133.147;4.372;1.791;128.775;1.372;11.044;5.897;4.511;18388.346;130.566;3.217;4.97;314.851;2.962;9.177;17.744;1.607;0.435
0;0;3925;1665;298;833.356;2.564;54.603;4.26;1.696;50.343;3.259;6.693;4.902;4.217;11143.481;52.039;3.176;4.822;58.593;2.962;8.754;7.655;1.144;0.188
2;4;5979;1665;317;822.558;2.974;17.449;4.525;1.551;12.924;10.718;4.722;4.576;4.459;7862.05;14.475;3.894;5.229;1.847;2.953;14.691;1.359;0.288;0.033
0;2;4472;1665;264;826.345;2.168;97.549;3.419;1.251;94.13;1.311;9.727;5.38;4.118;16195.851;95.381;2.978;7.014;230.729;2.952;8.628;15.19;1.562;0.372
2;0;4191;1665;267;818.255;2.207;114.852;4.24;2.033;110.612;1.805;11.61;6.496;4.858;19329.824;112.645;3.51;10.378;307.557;2.951;8.819;17.537;1.511;0.43
0;0;4145;1665;278;823.331;2.738;44.857;4.796;2.058;40.061;4.886;6.109;5.195;4.7;10171.628;42.119;3.639;5.298;21.38;2.944;10.565;4.624;0.757;0.113
2;4;5038;1665;285;851.467;2.387;100.689;4.754;2.367;95.935;2.408;11.713;7.144;5.45;19502.413;98.302;4.22;11.312;254.682;2.927;9.069;15.959;1.362;0.391
2;2;4376;1665;384;845.617;2.38;11.537;3.835;1.455;7.702;15.886;3.918;3.8;3.706;6524.17;9.156;3.338;4.154;1.254;2.921;12.687;1.12;0.286;0.027
0;0;5333;1665;303;818.881;1.801;161.753;4.815;3.014;156.938;1.884;16.019;7.211;4.828;26672.439;159.952;3.286;12.661;781.825;2.916;8.033;27.961;1.745;0.685
0;2;5672;1665;319;847.473;2.613;43.98;4.393;1.781;39.586;4.304;6.155;4.87;4.31;10248.709;41.367;3.312;4.884;35.445;2.914;8.471;5.954;0.967;0.146
